,location,total_sqft,bath,price,bhk
142,7th Phase JP Nagar,850.0,2.0,42.0,2
145,7th Phase JP Nagar,1236.0,2.0,61.33,2
146,7th Phase JP Nagar,1000.0,2.0,53.0,2
149,7th Phase JP Nagar,1187.0,2.0,59.0,2
151,7th Phase JP Nagar,1000.0,2.0,61.0,2
154,7th Phase JP Nagar,1200.0,2.0,62.5,2
155,7th Phase JP Nagar,1000.0,2.0,70.65,2
156,7th Phase JP Nagar,1080.0,2.0,75.0,2
160,7th Phase JP Nagar,1120.0,2.0,65.0,2
161,7th Phase JP Nagar,1100.0,3.0,60.0,2
164,7th Phase JP Nagar,1050.0,2.0,77.0,2
165,7th Phase JP Nagar,1050.0,2.0,75.0,2
166,7th Phase JP Nagar,1040.0,2.0,75.0,2
169,7th Phase JP Nagar,1050.0,2.0,68.0,2
170,7th Phase JP Nagar,1000.0,2.0,60.0,2
172,7th Phase JP Nagar,1050.0,2.0,77.47,2
173,7th Phase JP Nagar,1270.0,2.0,80.0,2
176,7th Phase JP Nagar,1130.0,2.0,85.0,2
178,7th Phase JP Nagar,980.0,2.0,77.44,2
190,7th Phase JP Nagar,990.0,2.0,50.0,2
194,7th Phase JP Nagar,1128.0,2.0,60.0,2
195,7th Phase JP Nagar,1140.0,2.0,57.0,2
197,7th Phase JP Nagar,1530.0,2.0,108.0,2
99,7th Phase JP Nagar,1420.0,2.0,100.0,3
100,7th Phase JP Nagar,1850.0,3.0,150.0,3
103,7th Phase JP Nagar,1400.0,2.0,95.0,3
104,7th Phase JP Nagar,2225.0,3.0,160.0,3
108,7th Phase JP Nagar,1450.0,2.0,100.0,3
110,7th Phase JP Nagar,1420.0,2.0,96.0,3
111,7th Phase JP Nagar,1680.0,3.0,120.0,3
114,7th Phase JP Nagar,1050.0,2.0,57.0,3
115,7th Phase JP Nagar,1343.0,2.0,56.41,3
116,7th Phase JP Nagar,1405.0,2.0,59.01,3
117,7th Phase JP Nagar,1400.0,3.0,115.0,3
121,7th Phase JP Nagar,2200.0,3.0,190.0,3
122,7th Phase JP Nagar,1250.0,3.0,65.0,3
123,7th Phase JP Nagar,1385.0,2.0,58.17,3
124,7th Phase JP Nagar,1575.0,2.0,110.0,3
125,7th Phase JP Nagar,1850.0,3.0,140.0,3
126,7th Phase JP Nagar,1575.0,2.0,120.0,3
127,7th Phase JP Nagar,1850.0,3.0,150.0,3
128,7th Phase JP Nagar,1680.0,3.0,120.0,3
130,7th Phase JP Nagar,3300.0,4.0,160.0,3
131,7th Phase JP Nagar,2200.0,4.0,105.0,3
134,7th Phase JP Nagar,1300.0,3.0,89.13,3
136,7th Phase JP Nagar,1450.0,3.0,100.0,3
137,7th Phase JP Nagar,1350.0,3.0,58.0,3
140,7th Phase JP Nagar,1460.0,3.0,70.0,3
141,7th Phase JP Nagar,1650.0,3.0,110.0,3
143,7th Phase JP Nagar,1680.0,3.0,117.0,3
144,7th Phase JP Nagar,1850.0,3.0,150.0,3
147,7th Phase JP Nagar,1680.0,3.0,125.0,3
148,7th Phase JP Nagar,1675.0,2.0,135.0,3
150,7th Phase JP Nagar,1850.0,3.0,155.0,3
152,7th Phase JP Nagar,1460.0,2.0,100.0,3
153,7th Phase JP Nagar,1650.0,3.0,110.0,3
157,7th Phase JP Nagar,1415.0,3.0,65.0,3
158,7th Phase JP Nagar,1680.0,3.0,125.0,3
159,7th Phase JP Nagar,1460.0,2.0,97.0,3
162,7th Phase JP Nagar,1790.0,3.0,120.0,3
163,7th Phase JP Nagar,1680.0,3.0,117.0,3
167,7th Phase JP Nagar,1400.0,2.0,95.0,3
168,7th Phase JP Nagar,1800.0,3.0,130.0,3
171,7th Phase JP Nagar,1680.0,3.0,125.0,3
174,7th Phase JP Nagar,1463.0,2.0,61.45,3
175,7th Phase JP Nagar,1680.0,3.0,122.0,3
177,7th Phase JP Nagar,1680.0,3.0,130.0,3
179,7th Phase JP Nagar,1680.0,3.0,112.0,3
180,7th Phase JP Nagar,1515.0,2.0,76.0,3
181,7th Phase JP Nagar,2095.0,3.0,150.0,3
182,7th Phase JP Nagar,1976.0,3.0,145.0,3
183,7th Phase JP Nagar,1600.0,2.0,110.0,3
184,7th Phase JP Nagar,1765.0,3.0,118.0,3
185,7th Phase JP Nagar,1275.0,2.0,88.0,3
186,7th Phase JP Nagar,1450.0,2.0,102.0,3
187,7th Phase JP Nagar,1575.0,2.0,110.0,3
188,7th Phase JP Nagar,1075.0,2.0,57.0,3
192,7th Phase JP Nagar,1680.0,2.0,92.0,3
193,7th Phase JP Nagar,1430.0,2.0,102.0,3
196,7th Phase JP Nagar,1420.0,3.0,90.0,3
199,8th Phase JP Nagar,451.0,1.0,29.9,1
213,8th Phase JP Nagar,500.0,1.0,31.0,1
220,8th Phase JP Nagar,500.0,1.0,30.0,1
233,8th Phase JP Nagar,500.0,1.0,33.0,1
200,8th Phase JP Nagar,1240.0,3.0,43.5,3
202,8th Phase JP Nagar,1230.0,2.0,43.5,3
203,8th Phase JP Nagar,1455.0,3.0,73.31,3
206,8th Phase JP Nagar,1800.0,3.0,80.0,3
211,8th Phase JP Nagar,1275.0,2.0,41.5,3
218,8th Phase JP Nagar,1431.5,3.0,72.02,3
219,8th Phase JP Nagar,1900.0,4.0,90.0,3
224,8th Phase JP Nagar,1605.0,2.0,65.0,3
225,8th Phase JP Nagar,1504.0,2.0,83.0,3
227,8th Phase JP Nagar,1368.0,2.0,54.71,3
229,8th Phase JP Nagar,1224.0,2.0,48.95,3
236,8th Phase JP Nagar,3300.0,3.0,165.0,3
238,8th Phase JP Nagar,1296.0,2.0,51.83,3
239,8th Phase JP Nagar,1275.0,3.0,45.0,3
241,8th Phase JP Nagar,1269.0,2.0,50.75,3
242,8th Phase JP Nagar,1408.0,3.0,80.0,3
243,8th Phase JP Nagar,1500.0,2.0,55.0,3
207,8th Phase JP Nagar,2700.0,4.0,130.0,4
215,8th Phase JP Nagar,2100.0,4.0,92.0,4
226,8th Phase JP Nagar,2600.0,4.0,115.0,4
244,9th Phase JP Nagar,1005.0,2.0,50.0,2
246,9th Phase JP Nagar,1035.0,2.0,45.0,2
248,9th Phase JP Nagar,1164.0,2.0,56.0,2
249,9th Phase JP Nagar,1005.0,2.0,42.0,2
250,9th Phase JP Nagar,1127.0,2.0,50.0,2
251,9th Phase JP Nagar,1005.0,2.0,43.0,2
252,9th Phase JP Nagar,835.0,2.0,37.0,2
253,9th Phase JP Nagar,1050.0,2.0,39.0,2
254,9th Phase JP Nagar,660.0,2.0,27.0,2
255,9th Phase JP Nagar,1466.0,2.0,71.0,2
257,9th Phase JP Nagar,1079.0,2.0,60.0,2
258,9th Phase JP Nagar,1480.0,2.0,80.0,2
259,9th Phase JP Nagar,1073.0,2.0,52.36,2
265,9th Phase JP Nagar,890.0,2.0,45.0,2
266,9th Phase JP Nagar,1331.95,2.0,69.0,2
245,9th Phase JP Nagar,1890.0,2.0,85.0,3
256,9th Phase JP Nagar,1890.0,2.0,93.0,3
260,9th Phase JP Nagar,1719.3,2.0,88.0,3
261,9th Phase JP Nagar,1780.0,3.0,88.0,3
262,9th Phase JP Nagar,1300.0,2.0,58.0,3
263,9th Phase JP Nagar,1571.0,3.0,65.0,3
247,9th Phase JP Nagar,5000.0,4.0,290.0,4
264,9th Phase JP Nagar,1900.0,4.0,80.0,4
267,AECS Layout,1100.0,2.0,45.0,2
268,AECS Layout,1028.0,2.0,42.0,2
269,AECS Layout,1199.0,2.0,65.0,2
270,AECS Layout,1080.0,2.0,55.0,2
271,AECS Layout,1123.0,2.0,64.0,2
272,AECS Layout,1308.0,2.0,60.0,2
273,AECS Layout,1005.0,2.0,55.0,2
276,Abbigere,765.0,2.0,30.0,1
275,Abbigere,985.0,2.0,40.39,2
277,Abbigere,880.0,2.0,35.0,2
278,Abbigere,795.0,2.0,32.54,2
279,Abbigere,1005.0,2.0,39.59,2
281,Abbigere,1020.0,2.0,41.82,2
282,Abbigere,985.0,2.0,40.39,2
284,Abbigere,795.0,2.0,32.54,2
285,Abbigere,1130.0,2.0,46.33,2
286,Abbigere,795.0,1.0,32.6,2
287,Abbigere,985.0,2.0,38.92,2
288,Abbigere,1000.0,2.0,41.0,2
289,Abbigere,995.0,2.0,40.8,2
290,Abbigere,1020.0,2.0,40.8,2
283,Abbigere,2500.0,6.0,81.0,6
291,Akshaya Nagar,1388.0,2.0,57.0,2
292,Akshaya Nagar,1070.0,2.0,54.0,2
293,Akshaya Nagar,1280.0,2.0,58.0,2
302,Akshaya Nagar,1280.0,2.0,60.0,2
307,Akshaya Nagar,1280.0,2.0,60.0,2
308,Akshaya Nagar,1200.0,2.0,50.0,2
309,Akshaya Nagar,1092.0,2.0,60.0,2
314,Akshaya Nagar,1314.0,2.0,68.8,2
316,Akshaya Nagar,1265.0,2.0,67.0,2
317,Akshaya Nagar,1126.0,2.0,55.0,2
326,Akshaya Nagar,1300.0,2.0,54.0,2
328,Akshaya Nagar,1113.0,2.0,52.0,2
330,Akshaya Nagar,1100.0,2.0,48.0,2
332,Akshaya Nagar,1300.0,2.0,66.0,2
333,Akshaya Nagar,1225.0,2.0,68.0,2
334,Akshaya Nagar,1179.0,2.0,51.0,2
337,Akshaya Nagar,900.0,2.0,45.0,2
294,Akshaya Nagar,1662.0,3.0,85.1,3
295,Akshaya Nagar,1897.0,3.0,120.0,3
296,Akshaya Nagar,1410.0,2.0,75.0,3
297,Akshaya Nagar,1360.0,2.0,85.0,3
298,Akshaya Nagar,1600.0,2.0,65.0,3
299,Akshaya Nagar,1410.0,2.0,80.0,3
300,Akshaya Nagar,1662.0,3.0,85.0,3
301,Akshaya Nagar,1662.0,3.0,85.5,3
303,Akshaya Nagar,1666.0,3.0,95.0,3
304,Akshaya Nagar,1575.0,3.0,90.0,3
305,Akshaya Nagar,1430.0,2.0,75.0,3
306,Akshaya Nagar,1419.0,2.0,73.0,3
310,Akshaya Nagar,1690.0,3.0,85.0,3
311,Akshaya Nagar,1700.0,3.0,80.0,3
312,Akshaya Nagar,1897.0,4.0,93.0,3
313,Akshaya Nagar,1884.0,3.0,98.0,3
315,Akshaya Nagar,1690.0,3.0,85.0,3
318,Akshaya Nagar,2300.0,4.0,102.0,3
319,Akshaya Nagar,1662.0,3.0,90.0,3
320,Akshaya Nagar,1420.0,2.0,75.0,3
321,Akshaya Nagar,1412.0,2.0,88.0,3
322,Akshaya Nagar,1434.0,3.0,84.0,3
323,Akshaya Nagar,1890.0,4.0,100.0,3
324,Akshaya Nagar,2650.0,3.0,125.0,3
325,Akshaya Nagar,1419.0,2.0,87.0,3
327,Akshaya Nagar,1690.0,3.0,85.0,3
329,Akshaya Nagar,1820.0,4.0,95.0,3
331,Akshaya Nagar,1896.0,3.0,102.0,3
335,Akshaya Nagar,1421.0,2.0,73.0,3
336,Akshaya Nagar,1893.0,4.0,95.0,3
352,Ambalipura,770.0,1.0,43.82,1
338,Ambalipura,1105.0,2.0,75.0,2
340,Ambalipura,1150.0,2.0,80.0,2
341,Ambalipura,1250.0,2.0,66.25,2
342,Ambalipura,1332.0,2.0,79.0,2
345,Ambalipura,1230.0,2.0,66.25,2
346,Ambalipura,1351.0,2.0,77.0,2
350,Ambalipura,1303.0,2.0,80.0,2
353,Ambalipura,1700.0,2.0,76.0,2
354,Ambalipura,1060.0,2.0,58.5,2
357,Ambalipura,1198.0,2.0,80.0,2
339,Ambalipura,1800.0,3.0,110.0,3
343,Ambalipura,1730.0,3.0,120.0,3
344,Ambalipura,3500.0,3.0,198.0,3
348,Ambalipura,1817.0,3.0,102.0,3
351,Ambalipura,1607.0,2.0,112.0,3
355,Ambalipura,1650.0,3.0,100.0,3
356,Ambalipura,1607.0,2.0,112.0,3
359,Ambedkar Nagar,1424.0,2.0,90.0,2
365,Ambedkar Nagar,1424.0,2.0,90.0,2
371,Ambedkar Nagar,1367.0,2.0,86.0,2
373,Ambedkar Nagar,1409.0,2.0,95.0,2
382,Ambedkar Nagar,1425.0,2.0,94.0,2
358,Ambedkar Nagar,1935.0,4.0,130.0,3
360,Ambedkar Nagar,2225.0,4.0,169.0,3
361,Ambedkar Nagar,1862.0,3.0,120.0,3
362,Ambedkar Nagar,1850.0,4.0,139.0,3
363,Ambedkar Nagar,1936.0,4.0,126.0,3
364,Ambedkar Nagar,1862.0,3.0,119.0,3
366,Ambedkar Nagar,2150.0,4.0,125.0,3
368,Ambedkar Nagar,1856.0,3.0,120.0,3
369,Ambedkar Nagar,1852.0,3.0,130.0,3
370,Ambedkar Nagar,1850.0,4.0,120.0,3
374,Ambedkar Nagar,1950.0,4.0,120.0,3
375,Ambedkar Nagar,1921.0,4.0,129.0,3
376,Ambedkar Nagar,1920.0,4.0,121.0,3
377,Ambedkar Nagar,1935.0,4.0,125.0,3
378,Ambedkar Nagar,1852.0,4.0,122.0,3
379,Ambedkar Nagar,1950.0,4.0,120.0,3
380,Ambedkar Nagar,1852.0,3.0,125.0,3
381,Ambedkar Nagar,1850.0,4.0,121.0,3
383,Ambedkar Nagar,2395.0,4.0,150.0,3
367,Ambedkar Nagar,3530.0,4.0,290.0,4
372,Ambedkar Nagar,3565.0,4.0,255.0,4
403,Amruthahalli,485.0,1.0,19.5,1
384,Amruthahalli,900.0,2.0,40.0,2
385,Amruthahalli,1200.0,2.0,55.0,2
387,Amruthahalli,924.0,2.0,45.0,2
388,Amruthahalli,900.0,2.0,60.0,2
389,Amruthahalli,1100.0,2.0,45.0,2
390,Amruthahalli,1200.0,2.0,55.0,2
395,Amruthahalli,1200.0,2.0,55.0,2
396,Amruthahalli,1250.0,2.0,79.0,2
397,Amruthahalli,1190.0,2.0,50.0,2
398,Amruthahalli,1202.0,2.0,65.0,2
399,Amruthahalli,1340.0,2.0,75.0,2
402,Amruthahalli,1025.0,2.0,42.0,2
386,Amruthahalli,1900.0,3.0,135.0,3
391,Amruthahalli,1350.0,2.0,63.0,3
392,Amruthahalli,1605.0,3.0,65.0,3
393,Amruthahalli,1700.0,3.0,77.0,3
394,Amruthahalli,1450.0,2.0,85.0,3
400,Amruthahalli,2650.0,4.0,175.0,3
401,Amruthahalli,1450.0,2.0,90.0,3
404,Anandapura,1167.0,2.0,43.76,2
405,Anandapura,1000.0,2.0,55.0,2
406,Anandapura,1141.0,2.0,42.79,2
408,Anandapura,1200.0,2.0,67.0,2
409,Anandapura,1200.0,2.0,58.0,2
410,Anandapura,1151.0,2.0,43.1,2
411,Anandapura,1141.0,2.0,42.75,2
412,Anandapura,900.0,2.0,48.0,2
414,Anandapura,1151.0,2.0,42.9,2
416,Anandapura,1250.0,2.0,45.0,2
417,Anandapura,1151.0,2.0,43.16,2
418,Anandapura,1200.0,2.0,58.0,2
421,Anandapura,1200.0,2.0,50.0,2
422,Anandapura,1141.0,2.0,50.0,2
407,Anandapura,1576.0,3.0,59.1,3
415,Anandapura,1576.0,3.0,58.0,3
419,Anandapura,1200.0,2.0,66.0,3
420,Anandapura,1415.0,2.0,74.0,3
423,Anandapura,1576.0,3.0,58.7,3
413,Anandapura,1749.0,4.0,90.0,4
424,Ananth Nagar,500.0,1.0,14.0,1
427,Ananth Nagar,500.0,2.0,14.0,1
432,Ananth Nagar,500.0,1.0,14.0,1
446,Ananth Nagar,500.0,1.0,14.0,1
425,Ananth Nagar,1100.0,2.0,31.5,2
426,Ananth Nagar,982.0,2.0,24.55,2
428,Ananth Nagar,900.0,2.0,22.5,2
429,Ananth Nagar,908.0,2.0,26.0,2
430,Ananth Nagar,937.0,2.0,35.0,2
431,Ananth Nagar,960.0,2.0,37.0,2
433,Ananth Nagar,1000.0,2.0,29.7,2
434,Ananth Nagar,850.0,2.0,25.99,2
435,Ananth Nagar,902.0,2.0,25.26,2
437,Ananth Nagar,810.0,2.0,25.5,2
438,Ananth Nagar,890.0,2.0,27.0,2
439,Ananth Nagar,1200.0,2.0,36.0,2
442,Ananth Nagar,1000.0,2.0,25.0,2
443,Ananth Nagar,902.0,2.0,25.0,2
444,Ananth Nagar,930.0,2.0,25.99,2
445,Ananth Nagar,1074.0,2.0,26.85,2
447,Ananth Nagar,1010.0,2.0,38.0,2
448,Ananth Nagar,992.0,2.0,24.8,2
436,Ananth Nagar,1470.0,3.0,54.0,3
440,Ananth Nagar,1319.0,3.0,37.75,3
441,Ananth Nagar,1319.0,3.0,42.0,3
452,Anekal,600.0,1.0,16.5,1
454,Anekal,530.0,1.0,18.0,1
468,Anekal,400.0,1.0,11.5,1
469,Anekal,456.0,1.0,15.0,1
476,Anekal,420.0,1.0,12.5,1
449,Anekal,1200.0,1.0,36.0,2
450,Anekal,656.0,2.0,22.0,2
451,Anekal,620.0,2.0,22.0,2
453,Anekal,925.0,2.0,40.0,2
456,Anekal,1200.0,1.0,36.0,2
457,Anekal,1035.0,2.0,38.3,2
458,Anekal,888.0,2.0,34.0,2
459,Anekal,1200.0,2.0,36.1,2
460,Anekal,700.0,1.0,19.4,2
461,Anekal,1200.0,1.0,36.0,2
462,Anekal,766.0,2.0,28.0,2
464,Anekal,620.0,1.0,23.5,2
466,Anekal,1200.0,1.0,36.0,2
467,Anekal,1200.0,1.0,36.0,2
470,Anekal,1200.0,1.0,36.0,2
471,Anekal,1200.0,1.0,36.0,2
473,Anekal,1200.0,2.0,36.1,2
474,Anekal,1200.0,2.0,36.1,2
475,Anekal,680.0,1.0,21.0,2
477,Anekal,614.0,1.0,28.0,2
478,Anekal,1140.0,2.0,52.0,2
479,Anekal,625.0,1.0,25.0,2
455,Anekal,1800.0,3.0,68.0,3
463,Anekal,967.0,2.0,45.0,3
465,Anekal,1150.0,3.0,45.0,3
472,Anekal,2400.0,4.0,95.0,3
481,Anjanapura,1070.0,2.0,39.0,2
483,Anjanapura,1070.0,2.0,37.0,2
484,Anjanapura,950.0,2.0,40.0,2
486,Anjanapura,710.0,2.0,25.0,2
488,Anjanapura,950.0,2.0,32.0,2
491,Anjanapura,1076.0,2.0,30.13,2
492,Anjanapura,950.0,2.0,30.0,2
482,Anjanapura,1500.0,3.0,121.0,3
485,Anjanapura,1280.0,2.0,45.0,3
487,Anjanapura,1347.0,2.0,37.72,3
490,Anjanapura,1843.0,3.0,87.54,3
503,Ardendale,1224.0,2.0,70.0,2
508,Ardendale,1224.0,2.0,67.0,2
494,Ardendale,3198.0,4.0,200.0,4
495,Ardendale,2422.0,4.0,160.0,4
497,Ardendale,3200.0,4.0,205.0,4
499,Ardendale,2062.0,3.0,140.0,4
501,Ardendale,2062.0,3.0,150.0,4
502,Ardendale,2800.0,4.0,140.0,4
506,Ardendale,2062.0,3.0,140.0,4
516,Arekere,600.0,1.0,28.0,1
513,Arekere,920.0,2.0,40.0,2
515,Arekere,1190.0,2.0,55.0,2
518,Arekere,1100.0,2.0,55.0,2
519,Arekere,900.0,2.0,50.0,2
521,Arekere,1240.0,2.0,60.0,2
522,Arekere,900.0,2.0,44.5,2
512,Arekere,2060.0,3.0,140.0,3
514,Arekere,1740.0,2.0,95.0,3
517,Arekere,2072.0,3.0,108.0,3
523,Attibele,450.0,1.0,11.0,1
526,Attibele,400.0,1.0,11.0,1
527,Attibele,400.0,1.0,12.0,1
528,Attibele,400.0,1.0,14.0,1
529,Attibele,500.0,1.0,17.0,1
531,Attibele,395.0,1.0,10.25,1
532,Attibele,420.0,1.0,17.0,1
534,Attibele,418.0,1.0,12.0,1
536,Attibele,400.0,1.0,10.0,1
540,Attibele,450.0,1.0,12.5,1
544,Attibele,782.0,1.0,19.55,1
547,Attibele,400.0,1.0,11.5,1
548,Attibele,460.0,1.0,13.0,1
549,Attibele,418.0,2.0,11.5,1
551,Attibele,550.0,1.0,11.5,1
553,Attibele,410.0,1.0,10.0,1
555,Attibele,400.0,1.0,10.25,1
558,Attibele,520.0,1.0,15.0,1
525,Attibele,656.0,2.0,25.0,2
535,Attibele,1200.0,2.0,42.0,2
537,Attibele,695.0,1.0,25.0,2
538,Attibele,850.0,1.0,25.0,2
541,Attibele,995.0,1.0,24.88,2
542,Attibele,900.0,1.0,25.0,2
543,Attibele,1174.0,2.0,29.35,2
545,Attibele,1175.0,2.0,29.38,2
546,Attibele,656.0,2.0,25.0,2
550,Attibele,1000.0,2.0,42.0,2
552,Attibele,996.0,2.0,24.9,2
556,Attibele,656.0,2.0,25.0,2
533,Attibele,1639.0,2.0,40.98,3
539,Attibele,2400.0,3.0,120.0,3
554,Attibele,1700.0,3.0,65.0,3
557,Attibele,1500.0,3.0,90.0,3
559,BEML Layout,1060.0,2.0,55.0,2
561,BEML Layout,999.0,2.0,45.0,2
564,BEML Layout,1194.0,2.0,65.0,2
565,BEML Layout,1200.0,2.0,67.0,2
566,BEML Layout,2400.0,2.0,228.0,2
569,BEML Layout,1194.0,2.0,65.0,2
562,BEML Layout,2400.0,4.0,225.0,5
571,BTM 2nd Stage,950.0,2.0,52.0,2
573,BTM 2nd Stage,1200.0,2.0,80.0,2
574,BTM 2nd Stage,1274.0,2.0,70.0,2
576,BTM 2nd Stage,1070.0,2.0,48.0,2
577,BTM 2nd Stage,1280.0,2.0,80.0,2
578,BTM 2nd Stage,1100.0,2.0,70.0,2
579,BTM 2nd Stage,1000.0,2.0,58.0,2
581,BTM 2nd Stage,1265.0,2.0,55.0,2
585,BTM 2nd Stage,965.0,2.0,56.0,2
586,BTM 2nd Stage,1147.0,2.0,75.0,2
588,BTM 2nd Stage,1400.0,2.0,90.0,2
589,BTM 2nd Stage,1200.0,2.0,70.0,2
590,BTM 2nd Stage,1100.0,2.0,47.0,2
591,BTM 2nd Stage,930.0,2.0,46.0,2
570,BTM 2nd Stage,1260.0,5.0,185.0,3
572,BTM 2nd Stage,1850.0,3.0,170.0,3
575,BTM 2nd Stage,1250.0,3.0,50.0,3
